"ID","Year_Birth","Education","Marital_Status","Income_norm","Kidhome","Teenhome","Dt_Customer","Recency_norm","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Z_CostContact","Z_Revenue","Response","Age","Seniority_Years","Total_spend_norm","Total_kids","Total_purchase_norm","Accepted_campaign","Is_Parent","Age_group","Income_segment","Income","Recency","Total_Spend","Total_Purchase"
9736,1980,"Graduation","Married",0.24970902549994708,1,1,"2012-12-24",0.5151515151515152,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,46,13,0.036111111111111115,2,0.20454545454545456,0,1,"Adulte","Mid_Income",41850,51,96,9
4939,1946,"Graduation","Together",0.2242526467787411,0,0,"2012-08-31",0.20202020202020204,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,80,13,0.12380952380952381,0,0.29545454545454547,0,0,"Senior","Mid_Income",37760,20,317,13
6565,1949,"Master","Married",0.4684533849514835,0,1,"2013-03-28",0.9191919191919192,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,77,12,0.7051587301587302,1,0.5909090909090909,1,1,"Senior","Mid_Income",76995,91,1782,26
2278,1985,"Master","Single",0.1996800836512787,1,0,"2012-11-03",0.8686868686868687,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,41,13,0.050793650793650794,1,0.18181818181818182,0,1,"Adulte","Low_Income",33812,86,133,8
9360,1982,"Graduation","Married",0.21977132827525253,0,0,"2012-08-08",0.4141414141414142,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,44,13,0.12341269841269842,0,0.2727272727272727,0,0,"Adulte","Mid_Income",37040,41,316,12
5376,1979,"Graduation","Married",0.00446264634305738,1,0,"2013-01-06",0.42424242424242425,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,47,13,0.6845238095238095,1,0.9772727272727273,0,1,"Adulte","Low_Income",2447,42,1730,43
1993,1949,"PhD","Married",0.35400548961516676,0,1,"2012-12-23",0.6363636363636365,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,77,13,0.38373015873015875,1,0.38636363636363635,1,1,"Senior","Mid_Income",58607,63,972,17
4047,1954,"PhD","Married",0.395812456820629,0,1,"2014-01-11",0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,72,12,0.2138888888888889,1,0.4545454545454546,0,1,"Senior","Mid_Income",65324,0,544,20
1409,1951,"Graduation","Together",0.24248289941307175,0,1,"2013-03-18",0.696969696969697,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,75,13,0.17420634920634923,1,0.4545454545454546,0,1,"Senior","Mid_Income",40689,69,444,20
7892,1969,"Graduation","Single",0.10493131756988056,0,0,"2013-01-02",0.8989898989898991,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,57,13,0.027777777777777776,0,0.18181818181818182,0,0,"Senior","Low_Income",18589,89,75,8
2404,1976,"Graduation","Married",0.32134165696751665,1,1,"2013-05-27",0.04040404040404041,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,50,12,0.1,2,0.3181818181818182,0,1,"Adulte","Mid_Income",53359,4,257,14
5255,1986,"Graduation","Single",0.30903670324335425,1,0,"2013-02-20",0.19191919191919193,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,40,13,0.2507936507936508,1,0.6136363636363636,0,1,"Adulte","Mid_Income",51382,19,637,27
9422,1989,"Graduation","Married",0.2279870788649816,1,0,"2013-05-31",0.26262626262626265,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,37,12,0.05,1,0.20454545454545456,0,1,"Adulte","Mid_Income",38360,26,131,9
1966,1965,"PhD","Married",0.5158993446071688,0,0,"2013-11-22",0.9696969696969697,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,61,12,0.6615079365079365,0,0.5909090909090909,1,0,"Senior","Mid_Income",84618,96,1672,26
6864,1989,"Master","Divorced",0.05756627060939707,0,0,"2014-05-22",0.3434343434343435,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,37,11,0.00992063492063492,0,0.18181818181818182,0,0,"Adulte","Low_Income",10979,34,30,8
3033,1963,"Master","Together",0.22960533276901912,0,0,"2013-05-11",0.5656565656565657,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,12,0.12420634920634921,0,0.25,0,0,"Senior","Mid_Income",38620,56,318,11
5710,1970,"Graduation","Together",0.24160530787280524,0,1,"2012-10-10",0.31313131313131315,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,56,13,0.04563492063492063,1,0.20454545454545456,1,1,"Senior","Mid_Income",40548,31,120,9
7373,1952,"PhD","Divorced",0.27933552005078827,0,2,"2012-10-29",0.08080808080808081,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,74,13,0.11785714285714285,2,0.38636363636363635,1,1,"Senior","Mid_Income",46610,8,302,17
8755,1946,"Master","Married",0.4165572270596949,0,0,"2013-02-20",0.04040404040404041,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,80,13,0.4726190476190476,0,0.4090909090909091,0,0,"Senior","Mid_Income",68657,4,1196,18
10738,1951,"Master","Single",0.2966321646635588,1,1,"2013-08-29",0.5555555555555556,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,75,12,0.023809523809523808,2,0.13636363636363635,0,1,"Senior","Mid_Income",49389,55,65,6
4339,1970,"PhD","Married",0.40844106132559893,0,1,"2013-12-31",0.37373737373737376,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,56,12,0.3603174603174603,1,0.6363636363636364,0,1,"Senior","Mid_Income",67353,37,913,28
10755,1976,"Master","Married",0.13685448785375962,1,0,"2013-09-02",0.7676767676767677,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,50,12,0.030158730158730156,1,0.20454545454545456,0,1,"Adulte","Low_Income",23718,76,81,9
8595,1973,"Graduation","Widow",0.2533127524631692,0,1,"2014-02-11",1,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,12,0.024603174603174603,1,0.1590909090909091,0,1,"Adulte","Mid_Income",42429,99,67,7
2968,1943,"PhD","Divorced",0.29388735708017205,0,0,"2013-02-01",0.5353535353535354,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,83,13,0.35595238095238096,0,0.5454545454545454,1,0,"Senior","Mid_Income",48948,53,902,24
8601,1980,"Graduation","Married",0.487225130238319,0,1,"2013-04-29",0.030303030303030304,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,46,12,0.5515873015873016,1,0.4772727272727273,0,1,"Adulte","Mid_Income",80011,3,1395,21
503,1985,"Master","Married",0.11719270291970346,1,0,"2013-03-12",0.888888888888889,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,41,13,0.01904761904761905,1,0.1590909090909091,0,1,"Adulte","Low_Income",20559,88,53,7
8430,1957,"Graduation","Together",0.1261242196592953,0,1,"2012-12-24",0.04040404040404041,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,69,13,0.006746031746031746,1,0.09090909090909091,0,1,"Senior","Low_Income",21994,4,22,4
7281,1959,"PhD","Single",0.30903670324335425,0,0,"2013-11-05",0.8080808080808082,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,67,12,0.07182539682539682,0,0.20454545454545456,0,0,"Senior","Mid_Income",51382,80,186,9
2139,1975,"Master","Married",0.03591278856267933,1,0,"2013-10-02",0.19191919191919193,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,51,12,0.010317460317460317,1,0.18181818181818182,0,1,"Adulte","Low_Income",7500,19,31,8
1371,1976,"Graduation","Single",0.4867894464949243,0,0,"2014-06-28",0.7272727272727273,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,50,11,0.3884920634920635,0,0.36363636363636365,0,0,"Adulte","Mid_Income",79941,72,984,16
9909,1996,"Master","Married",0.03591278856267933,0,0,"2012-11-09",0.24242424242424243,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,30,13,0.04642857142857143,0,0.2272727272727273,1,0,"Jeune","Low_Income",7500,24,122,10
7286,1968,"Graduation","Together",0.24894969097574485,1,0,"2013-05-24",0.9292929292929294,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,58,12,0.01984126984126984,1,0.11363636363636365,0,1,"Senior","Mid_Income",41728,92,55,5
7244,1951,"Graduation","Single",0.30903670324335425,2,1,"2014-01-01",0.9696969696969697,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,75,12,0.04722222222222222,3,0.2272727272727273,0,1,"Senior","Mid_Income",51382,96,124,10
6566,1954,"PhD","Married",0.44078746724591855,1,1,"2012-11-08",0.393939393939394,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,72,13,0.5214285714285715,2,0.6363636363636364,0,1,"Senior","Mid_Income",72550,39,1319,28
8614,1957,"Graduation","Widow",0.39682075348391393,0,1,"2014-05-12",0.29292929292929293,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,69,11,0.19920634920634922,1,0.38636363636363635,0,1,"Senior","Mid_Income",65486,29,507,17
4114,1964,"Master","Married",0.48182265182022443,0,0,"2012-08-11",0.020202020202020204,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,62,13,0.6698412698412698,0,0.6590909090909091,0,0,"Senior","Mid_Income",79143,2,1693,29
1331,1977,"Graduation","Single",0.2119912614289182,1,0,"2013-01-02",0.5454545454545455,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,13,0.026587301587301587,1,0.1590909090909091,0,1,"Adulte","Mid_Income",35790,54,72,7
2225,1977,"Graduation","Divorced",0.5032271717278595,0,0,"2014-06-07",0.5454545454545455,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,49,11,0.6396825396825397,0,0.4772727272727273,1,0,"Adulte","Mid_Income",82582,54,1617,21
9381,1978,"Graduation","Married",0.4023414889180728,1,1,"2013-06-12",0.5757575757575758,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,48,12,0.2384920634920635,2,0.5227272727272727,0,1,"Adulte","Mid_Income",66373,57,606,23
6260,1955,"Master","Together",0.5019948091394001,0,0,"2012-11-19",0.5555555555555556,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,71,13,0.7746031746031746,0,0.6136363636363636,1,0,"Senior","Mid_Income",82384,55,1957,27
10383,1966,"Graduation","Divorced",0.42670243422731485,0,0,"2013-04-02",0.30303030303030304,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,60,12,0.43174603174603177,0,0.4772727272727273,1,0,"Senior","Mid_Income",70287,30,1093,21
7437,1988,"Graduation","Single",0.16311999352698436,1,0,"2014-04-28",0.31313131313131315,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,38,11,0.009523809523809525,1,0.13636363636363635,0,1,"Adulte","Low_Income",27938,31,29,6
8557,1982,"Graduation","Single",0.30903670324335425,1,0,"2013-06-17",0.5757575757575758,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,44,12,0.01626984126984127,1,0.1590909090909091,0,1,"Adulte","Mid_Income",51382,57,46,7
8375,1968,"PhD","Married",0.33749307574050674,0,1,"2014-03-03",0.6363636363636365,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,58,12,0.20357142857142857,1,0.4318181818181818,0,1,"Senior","Mid_Income",55954,63,518,19
6853,1982,"Master","Single",0.4608724878164153,0,0,"2013-07-04",0.12121212121212122,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,44,12,0.5686507936507936,0,0.4772727272727273,1,0,"Adulte","Mid_Income",75777,12,1438,21
3076,1975,"Graduation","Together",0.40408422389165166,1,1,"2012-09-07",0.18181818181818182,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,51,13,0.24087301587301588,2,0.5,0,1,"Adulte","Mid_Income",66653,18,612,22
1012,1952,"Graduation","Single",0.37402204559741575,0,1,"2013-02-18",0.26262626262626265,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,74,13,0.3488095238095238,1,0.5454545454545454,0,1,"Senior","Mid_Income",61823,26,884,24
6518,1951,"PhD","Widow",0.4104763268126,0,1,"2013-06-11",0.08080808080808081,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,75,12,0.2384920634920635,1,0.4318181818181818,0,1,"Senior","Mid_Income",67680,8,606,19
4137,1948,"Graduation","Together",0.42906135049512345,0,0,"2013-12-06",0.29292929292929293,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,78,12,0.425,0,0.36363636363636365,0,0,"Senior","Mid_Income",70666,29,1076,16
8082,1971,"Graduation","Married",0.1493212669683258,1,0,"2013-05-21",0.7575757575757577,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,55,12,0.011507936507936509,1,0.11363636363636365,1,1,"Adulte","Low_Income",25721,75,34,5
1386,1967,"Graduation","Together",0.19135230009896242,1,1,"2014-05-11",0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,59,11,0.002380952380952381,2,0.09090909090909091,0,1,"Senior","Low_Income",32474,0,11,4
9369,1979,"Master","Single",0.5381565598411621,0,1,"2014-03-19",0.19191919191919193,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,47,12,0.5035714285714286,1,0.7272727272727273,1,1,"Adulte","Mid_Income",88194,19,1274,32
4477,1958,"Graduation","Together",0.4192895865361275,0,1,"2013-09-27",0.04040404040404041,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,68,12,0.2571428571428572,1,0.4090909090909091,0,1,"Senior","Mid_Income",69096,4,653,18
1357,1970,"Graduation","Together",0.455127686457082,1,2,"2013-04-08",0.9090909090909092,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,56,12,0.6178571428571429,3,0.4318181818181818,0,1,"Senior","Mid_Income",74854,90,1562,19
1402,1954,"Master","Married",0.4061879539669005,0,0,"2012-09-11",0.010101010101010102,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,72,13,0.49523809523809526,0,0.4772727272727273,0,0,"Senior","Mid_Income",66991,1,1253,21
10629,1973,"Master","Married",0.30903670324335425,1,0,"2012-09-14",0.25252525252525254,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,53,13,0.04126984126984127,1,0.20454545454545456,0,1,"Adulte","Mid_Income",51382,25,109,9
6312,1959,"Graduation","Married",0.39398880915184825,0,1,"2013-03-17",0.29292929292929293,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,67,13,0.3404761904761905,1,0.6818181818181819,0,1,"Senior","Mid_Income",65031,29,863,30
8132,1975,"PhD","Married",0.36660297385275137,1,1,"2013-04-05",0.888888888888889,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,51,12,0.26031746031746034,2,0.5454545454545454,1,1,"Adulte","Mid_Income",60631,88,661,24
1050,1952,"Graduation","Married",0.16557227059694896,0,0,"2014-04-30",0.5858585858585859,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,74,11,0.023809523809523808,0,0.18181818181818182,0,0,"Senior","Low_Income",28332,58,65,8
5846,1977,"Graduation","Divorced",0.23972564372273084,1,0,"2012-12-19",0.686868686868687,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,49,13,0.0031746031746031746,1,0.09090909090909091,0,1,"Adulte","Mid_Income",40246,68,13,4
1859,1972,"Master","Married",0.45759863568747783,0,0,"2012-08-27",0.3434343434343435,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,54,13,0.748015873015873,0,0.4318181818181818,1,0,"Adulte","Mid_Income",75251,34,1890,19
7503,1976,"Graduation","Single",0.46117124238331453,0,0,"2012-10-12",0.4040404040404041,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,50,13,0.8746031746031746,0,0.5,1,0,"Adulte","Mid_Income",75825,40,2209,22
10401,1976,"Master","Together",0.1530868193219516,0,0,"2013-09-04",0.12121212121212122,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,50,12,0.005158730158730159,0,0.09090909090909091,0,0,"Adulte","Low_Income",26326,12,18,4
1618,1965,"Graduation","Together",0.338065688660397,0,0,"2013-01-02",0.09090909090909091,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,61,13,0.27261904761904765,0,0.4772727272727273,1,0,"Senior","Mid_Income",56046,9,692,21
3332,1985,"Graduation","Single",0.17446021896220132,1,0,"2012-08-29",0.8787878787878789,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,41,13,0.06349206349206349,1,0.2727272727272727,0,1,"Adulte","Low_Income",29760,87,165,12
2261,1969,"Graduation","Married",0.15294989014545612,1,0,"2013-06-23",0.05050505050505051,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,57,12,0.004365079365079365,1,0.09090909090909091,0,1,"Senior","Low_Income",26304,5,16,4
5346,1973,"Master","Married",0.1358648633509059,1,0,"2013-07-03",0.8787878787878789,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,53,12,0.029365079365079365,1,0.20454545454545456,0,1,"Adulte","Low_Income",23559,87,79,9
4119,1963,"Master","Together",0.22960533276901912,0,0,"2013-05-11",0.5656565656565657,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,63,12,0.12420634920634921,0,0.25,0,0,"Senior","Mid_Income",38620,56,318,11
535,1987,"Graduation","Divorced",0.4956276024323601,0,0,"2014-02-25",0.18181818181818182,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,39,12,0.30674603174603177,0,0.6136363636363636,0,0,"Adulte","Mid_Income",81361,18,778,27
5268,1960,"Graduation","Married",0.17246852184953973,1,1,"2013-08-11",0.9595959595959597,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,66,12,0.02023809523809524,2,0.1590909090909091,0,1,"Senior","Low_Income",29440,95,56,7
273,1970,"Master","Married",0.21415723203893766,1,1,"2013-07-16",0.48484848484848486,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,56,12,0.05793650793650794,2,0.29545454545454547,1,1,"Senior","Mid_Income",36138,48,151,13
4452,1957,"Graduation","Single",0.3028499940871492,0,1,"2014-05-28",0.030303030303030304,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,69,11,0.14563492063492064,1,0.38636363636363635,1,1,"Senior","Mid_Income",50388,3,372,17
8504,1973,"Graduation","Married",0.4846234758849048,0,0,"2014-05-12",0.7070707070707072,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,53,11,0.540079365079365,0,0.4318181818181818,1,0,"Adulte","Mid_Income",79593,70,1366,19
771,1967,"Graduation","Together",0.32643915676523494,0,1,"2014-01-21",0.797979797979798,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,59,12,0.07500000000000001,1,0.2272727272727273,0,1,"Senior","Mid_Income",54178,79,194,10
8996,1957,"PhD","Married",0.30903670324335425,2,1,"2012-11-19",0.04040404040404041,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,69,13,0.23730158730158732,3,0.6590909090909091,0,1,"Senior","Mid_Income",51382,4,603,29
9235,1957,"Graduation","Single",0.30903670324335425,1,1,"2014-05-27",0.4545454545454546,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,69,11,0.005158730158730159,2,0.09090909090909091,0,1,"Senior","Mid_Income",51382,45,18,4
5798,1973,"Master","Together",0.30903670324335425,0,0,"2013-11-23",0.8787878787878789,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,53,12,0.3888888888888889,0,0.34090909090909094,0,0,"Adulte","Mid_Income",51382,87,985,15
11178,1972,"Master","Single",0.2530949105914718,1,0,"2014-03-23",0.696969696969697,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,54,11,0.010714285714285714,1,0.11363636363636365,0,1,"Adulte","Mid_Income",42394,69,32,5
2230,1970,"PhD","Married",0.13628187493386942,1,0,"2014-05-24",0.8484848484848485,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,56,11,0.015079365079365078,1,0.2272727272727273,0,1,"Senior","Low_Income",23626,84,43,10
7516,1983,"Graduation","Married",0.17655150093049599,1,0,"2014-05-22",0.30303030303030304,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,43,11,0.015873015873015872,1,0.13636363636363635,0,1,"Adulte","Low_Income",30096,30,45,6
7247,1960,"Graduation","Widow",0.2874641338918384,0,1,"2012-11-22",0.7272727272727273,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,66,13,0.2384920634920635,1,0.5,1,1,"Senior","Mid_Income",47916,72,606,22
11100,1972,"Graduation","Divorced",0.31171927029197033,1,1,"2013-04-11",0.37373737373737376,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,54,12,0.023015873015873017,2,0.1590909090909091,0,1,"Adulte","Mid_Income",51813,37,63,7
4646,1951,"Master","Married",0.47780191327403887,0,0,"2013-12-01",0.4444444444444445,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,75,12,0.3861111111111111,0,0.5681818181818182,1,0,"Senior","Mid_Income",78497,44,978,25
3037,1983,"PhD","Married",0.30136866935960716,0,0,"2013-06-20",0.32323232323232326,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,43,12,0.16071428571428573,0,0.36363636363636365,0,0,"Adulte","Mid_Income",50150,32,410,16
